Structure [idcode]	Molecule Name	MolRegNo	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Index	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	InChI-Key	Molecular Formula	Monoisotopic Mass	Druglikeness	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 11	314701	=	700	nM	IC50	0.40	22.28	13.02	678193		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 12	314701		0		Inhibition				678307		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 13	314701		0		Inhibition				678308		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 14	314701		0		Inhibition				678309		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 15	314701		0		Inhibition				678312		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 16	314701		0		Inhibition				678313		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 17	314701		0		Inhibition				678191		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
fjcA`@@LBdsLs[Ks\UiwlabtCADALRD@@	Compound 18	314701	=	13700	nM	Ki	0.32	17.60	10.29	678192		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	AIGAZQPHXLWMOJ-UHFFFAOYSA-N	C18H12O3	276.078645	-3.7055	
ffs`a@IVb@HkHISLn}sZb`eN}dm@pQS@`TP@@	Compound 19	316711	=	4820	nM	IC50	0.33	17.08	14.22	238671		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	ANYDLXSQWBLIIK-UHFFFAOYSA-N	C17H10NO2FS	311.041627	-0.078566	
foA`b@ILx@HrQQJUQIPeCVjUh@J@@@	Compound 20	371825	=	38	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	ANYGXCWURPQKSQ-UHFFFAOYSA-N	C11H9NO2S	219.035399	1.7228	
fj}HP@INrTFcVrQRJIQIZJkJcOASfjjyjjZiRPhQQRaa@@	Compound 21	1334477	>	30000	nM	EC50				648311		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 22 (8), 2705-2707 (2012)	22446091	10.1016/j.bmcl.2012.02.105	AOBXNRJISYWUOA-BQKRADJCSA-N	C13H14N4O4	290.101506	1.2211	
fbmIb@BLe[r\`dLbbbTTLrTvSE\dxLDEQTuTM`UAj@d@@	Compound 22	1957398		0		Activity				956765		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. 23 (17), 5496-5501 (2015)	26260336	10.1016/j.bmc.2015.07.039	ARSGJCXAPPNIRH-GGVZMXCHSA-N	C12H13N4O3F	280.097169	0.42182	
ff}`P@K@PSbS]mrm{Jf\VkTs@DT@@@`R@	Compound 23	478462	>	50000	nM	IC50				414789		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (6), 1636-1638 (2009)	19233643	10.1016/j.bmcl.2009.02.010	ASIWCVUPDPRPDL-UHFFFAOYSA-N	C17H15NO4	297.100109	2.1147	
ff}`P@K@PSbS]mrm{Jf\VkTs@DT@@@`R@	Compound 24	478462	=	5400	nM	IC50	0.33	17.72	6.08	414790		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (6), 1636-1638 (2009)	19233643	10.1016/j.bmcl.2009.02.010	ASIWCVUPDPRPDL-UHFFFAOYSA-N	C17H15NO4	297.100109	2.1147	
ffc`P@D@YdnQQQQKIQYIZDgMNBejfH@@ah@@@	Compound 25	349527	<	25	%	Inhibition				262887		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	AUEGQRDPEGTAPP-UHFFFAOYSA-N	C17H13NO4	295.084459	-2.4121	
ehRZHF@NKGAei@HcPHrBGiCzPAdDfUumYV{WeWja`IJii[Z@Bfh@bZffj`X@@	Compound 26	348389	=	1.0e14	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	AWQBIBTZJKFLEW-UHFFFAOYSA-N	C21H15N5OClF3S2	509.035861	-1.6531	
ehRZHF@NKGAei@HcPHrBGiCzPAdDfUumYV{WeWja`IJii[Z@Bfh@bZffj`X@@	Compound 27	348389	=	10000	nM	IC50	0.21	9.80	6.88	262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	AWQBIBTZJKFLEW-UHFFFAOYSA-N	C21H15N5OClF3S2	509.035861	-1.6531	
fluIA@AR|EPHbpPdrnrzlmFJuEL@DtuMQP@@	Compound 28	356445	=	61	%	Inhibition				266028		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	BAPHIXKOPMJNFJ-UHFFFAOYSA-N	C12H11N4OClS	294.034208	4.1647	
fmwhPbNJuUl`cf@HSHYdBrCYgvRJJJZZKEQRIQqDYju^uLruUSUTuJ@@	Compound 29	356300	=	5000	nM	IC50	0.27	13.21	4.57	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	BCEDEDBQGPNQMM-UHFFFAOYSA-N	C14H10N5O4F3S	401.040559	-10.372	
figqB@LJ[H@QdbbRbTRrVfLRVJVCzOQuU@`@AP@PDHT@@	Compound 30	452854	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	BCSIDRMKCDVYDX-UHFFFAOYSA-N	C20H17N3OS	347.109232	2.7403	
do~B@JAEuIeof[ifjjfjhy@@	Compound 31	333621	=	30	%	Inhibition				254531		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	BCTWIURBSTWDKB-KAIZJQOQSA-N	C10H17NO4	215.115759	0.3056	
fa{PRBIImFkPABY[rTsKo\vssb`eNBWm@pQS@pLQ@@@	Compound 32	317000	=	2000	nM	IC50	0.32	16.84	7.08	238671		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	BEXUOOJPJCTWKL-UHFFFAOYSA-N	C17H10N2O4S	338.036128	-3.8239	
fakQ@@DYAdTRbbbTvTVTUtyIV}Z`h`B@`@BAJ@@	Compound 33	555133	=	6000	nM	EC50				425462		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 52 (16), 5228-5240 (2009)	19645480	10.1021/jm900611t	BIKTWHWUIKAJAT-HNNXBMFYSA-N	C21H22N2O	318.173213	2.3129	
eghTD@@DC@@lbbTRRbrRfbtJTrTacdPtqusUUPPTU@@@PDGe@@	Compound 34	650730	>	25000	nM	EC50				486973		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 53 (13), 4968-4979 (2010)	20527968	10.1021/jm1004489	BIQUQYCSENVAEU-IBGZPJMESA-N	C26H30N2O2	402.230728	6.7431	
eghPNH@AG@jfmk`HcHhdhThdhdmDeBeCPqYxedl]@AT@QTs@DPP@@@	Compound 35	564247	>	50000	nM	IC50				426933		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (16), 4538-4541 (2009)	19625187	10.1016/j.bmcl.2009.07.009	BIVPHUOIFUDUSK-UHFFFAOYSA-N	C22H15O7Cl	426.050632	-0.12935	
eghPNH@AG@jfmk`HcHhdhThdhdmDeBeCPqYxedl]@AT@QTs@DPP@@@	Compound 36	564247	=	5200	nM	IC50	0.24	12.38	4.39	426934		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (16), 4538-4541 (2009)	19625187	10.1016/j.bmcl.2009.07.009	BIVPHUOIFUDUSK-UHFFFAOYSA-N	C22H15O7Cl	426.050632	-0.12935	
foA`b@MLx@HrQQJUQIXeCVjUh@J@@@	Compound 37	371836	<	10	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	BLJRXJXOLZWTJS-UHFFFAOYSA-N	C11H9NO2S	219.035399	1.7228	
e`R\HL@EGO@`HcbPdBLbbbTTjfbRtRfbRRs@febQVsuwtADUTBDP@@@PDEE@@	Compound 38	379294	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	BLNVRICOAUESKO-UHFFFAOYSA-N	C25H17N3OClFS	461.076487	1.5133	
fnk`c@BZ\BHmD^BLbbbTTrRtJRRYKbhijvBBbZYh@H@@@	Compound 39	316734	=	46	%	Inhibition				240994		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	BNNAFRJSQJKTAV-UHFFFAOYSA-N	C17H9NO2Cl2S	360.973103	1.2951	
fluPb@BAyHDPdrkmsKMF^bEL@ELADHP@@	Compound 40	493033	=	30	nM	IC50				341535		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 18 (20), 5684-5688 (2008)	18796354	10.1016/j.bmcl.2008.08.082	BOSZJNSICHFHMA-UHFFFAOYSA-N	C14H9N2O2Cl	272.035255	-0.46366	
ek`TBH@BjiMCL`HcHhdieEDceEELXdjFKGBjmch@JejffZ@@X@`|P	Compound 41	2087689	>	50000	nM	IC50				1017144		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. 24 (13), 3035-3042 (2016)	27240464	10.1016/j.bmc.2016.05.013	BOZXTRFDIDZQLX-UHFFFAOYSA-N	C22H15N2O4Cl	406.072035	5.3377	
fj}hP@AR]dhMFmdbdTRbRtUVUF^BgMUUsUTuRdaPbbeCB@@	Compound 42	1334474	=	2240	nM	EC50				648311		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 22 (8), 2705-2707 (2012)	22446091	10.1016/j.bmcl.2012.02.105	BRDWIEOJOWJCLU-CKIYVRPFSA-N	C12H13N5O4	291.096755	-4.4561	
fhipP@D\D@w`yEDhihUEeSfkMKUSUUXXeJt@@	Compound 43	376354	>	1.0e5	nM	EC50				281342		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. 15 (2), 839-846 (2007)	17085053	10.1016/j.bmc.2006.10.043	BTDCHEXXMLJRNO-GEVIPFJHSA-N	C10H13N3O4	239.090607	2.435	
fhipP@D\D@w`yEDhihUEeSfkMKUSUUXXeJt@@	Compound 44	376354	>	1.0e5	nM	IC50				281342		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. 15 (2), 839-846 (2007)	17085053	10.1016/j.bmc.2006.10.043	BTDCHEXXMLJRNO-GEVIPFJHSA-N	C10H13N3O4	239.090607	2.435	
fjmPrAOA`bJ\e@D^dLixoYIHXhddmdhhjqgKP@@ASL@@@	Compound 45	356411	=	25000	nM	IC50	0.30	14.93	3.82	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	BVHNGWRPAFKGFP-UHFFFAOYSA-N	C12H8N2O6S	308.010308	-10.233	
edVTL@@DB@AilbbbfbRRbbfRRfsTRQCEfURwVpLKURE@@P@LD@B@@PLH	Compound 46	2087683	=	6700	nM	IC50	0.21	11.64	7.39	1017144		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. 24 (13), 3035-3042 (2016)	27240464	10.1016/j.bmc.2016.05.013	BWJHOHOWSONGSI-UHFFFAOYSA-N	C29H20N2O3	444.147393	4.0983	
foAQA@DTdBHtDYEDhdYhdsegPDDttH@@	Compound 47	371805	<	10	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	BXPGIVPWVMYZGH-UHFFFAOYSA-N	C10H7N2OClS	237.996760	3.3339	
eghPNH@AG@jfmk`HcHhdldhdhdmDeBeCPqYxedl]@AT@QTs@DPP@@@	Compound 48	562553	=	20900	nM	IC50	0.21	10.96	3.89	426933		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (16), 4538-4541 (2009)	19625187	10.1016/j.bmcl.2009.07.009	BYQBMIHQROWCQG-UHFFFAOYSA-N	C22H15O7Cl	426.050632	-0.12935	
eghPNH@AG@jfmk`HcHhdldhdhdmDeBeCPqYxedl]@AT@QTs@DPP@@@	Compound 49	562553	=	4100	nM	IC50	0.25	12.62	4.48	426934		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (16), 4538-4541 (2009)	19625187	10.1016/j.bmcl.2009.07.009	BYQBMIHQROWCQG-UHFFFAOYSA-N	C22H15O7Cl	426.050632	-0.12935	
fhi`P@D@YxNQQQQKIHjDyjsULPQL@@@	Compound 50	348560	<	25	%	Inhibition				262887		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	BZWKOEPAPGSYLV-UHFFFAOYSA-N	C12H11NO4	233.068809	0.3249	
fakqc@CV]ABPAF``hQddabbRbbqLtRUxuf}V`XJXiihd@@	Compound 51	356337	=	15000	nM	IC50	0.27	12.71	5.25	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	CACIKPKEDXYLDG-UHFFFAOYSA-N	C15H13N3O3S3	379.011902	-3.1893	
em[RNH@CLdR]OKo`X^PICHhdleEEeEMDdheECEEijejFD\^QX@JijZjZjifZZfblGDEFi@U@	Compound 52	329388	>	100	ug ml-1	Activity				252994		Carona virus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 48 (22), 6767-6771 (2005)	16250632	10.1021/jm050548m	CAYJBRBGZBCZKO-AYYQVUAPSA-N	C31H39N4O7F	598.280279	-3.9178	
fgoqR@JF}bSjmAHYDihdhmEDihithdcwijijfjij@@`j@@	Compound 53	338433	=	12600	nM	EC50				256676		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	CAZMERAZKBCKSZ-CVMIBEPCSA-N	C21H30N3O5F	423.216950	-15.847	
fgoqR@JF}bSjmAHYDihdhmEDihithdcwijijfjij@@`j@@	Compound 54	338433	=	6600	nM	EC50				256675		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	CAZMERAZKBCKSZ-CVMIBEPCSA-N	C21H30N3O5F	423.216950	-15.847	
fgoqR@JF}bSjmAHYDihdhmEDihithdcwijijfjij@@`j@@	Compound 55	338433	=	6200	nM	EC50				256674		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	CAZMERAZKBCKSZ-CVMIBEPCSA-N	C21H30N3O5F	423.216950	-15.847	
fnk`R@EBtzHJqIe[g]e[VgIJbfkX@aijj@@haZ`@	Compound 56	316619	=	13500	nM	IC50	0.29	11.56	8.72	238921		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	CDKFEFPWJYFQEG-UHFFFAOYSA-N	C17H12NO4I	420.981107	0.71716	
fig`P@D@XVnQQQQKIQYISQHdyipT}FuSD@@PL@@@@@	Compound 57	348572	=	46	%	Inhibition				262887		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	CDQXORKPLJMKQR-UHFFFAOYSA-N	C20H13NO4	331.084459	-0.11056	
fncHRBLDdTRjm@DEeoISJlsZ{\tgMA@tU@AL@@@	Compound 58	349433	<	1.0e12	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	CGYVDJOFAZUVFX-UHFFFAOYSA-N	C14H14N4O4S	334.073576	-3.7426	
fncHRBLDdTRjm@DEeoISJlsZ{\tgMA@tU@AL@@@	Compound 59	349433	>	1.0e6	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	CGYVDJOFAZUVFX-UHFFFAOYSA-N	C14H14N4O4S	334.073576	-3.7426	
fcopb@LDdKh@cIEDdhhUMDdeldisRZe[PPMD@@@UT@@@	Compound 60	348816	=	2.4547e12	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	CJBZKDWWJIGHRP-UHFFFAOYSA-N	C22H23N3O2S	393.151097	1.2225	
fcopb@LDdKh@cIEDdhhUMDdeldisRZe[PPMD@@@UT@@@	Compound 61	348816	=	4.0e5	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	CJBZKDWWJIGHRP-UHFFFAOYSA-N	C22H23N3O2S	393.151097	1.2225	
feo@p@@HCUl|bbTrTRRbfRReQFVcgiZcfuMPPA@UEPUAeDBP	Compound 62	387494	=	1130	nM	EC50				294026		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	CMJGAYUQSLJSCR-CQSZACIVSA-N	C20H16O6	352.094690	0.75401	
